,target,id,text
0,CSCO,1455357657674571777,11/2 watchlist 🧞‍♂️ $DIS 📈 $HOOD 📈 $TMC 📈 $AAL 📈 $DISCA 📈 $OSMT 📈 $CSCO 📈
1,CSCO,1455355820795826176,"RT @Dividend_Dollar: You could earn MONTHLY dividends with these 3 stocks  $CSCO January, April, July, October $ABBV February, May, August,…"
2,CSCO,1455351771874873349,"CSCO short entry on 2021-10-04 at 54.04, current stop at 58.33, B% is 0.79, return -3.81%, expectancy 14.34%"
3,CSCO,1455346059551588353,11/2 Watchlist  $C Calls &gt; 70 | Puts &lt; 69 $AAPL Calls &gt; 149.7 | Puts &lt; 147.8 $CSCO Calls &gt; 56.25 | Puts &lt; 55.5 $LYFT Calls &gt; 46.5 | Puts &lt; 45 $CAT Calls &gt; 206.88 | Puts &lt; 203.81 $LCID Calls &gt; 40.17 | Puts &lt; 35.73  LETS KILL IT!! GOOD LUCK GANG https://t.co/OQIoSL8iR4
4,CSCO,1455342964650266627,"@jpow_lord @anthonypesec @elonmusk Cisco (csco) in 1999 was briefly the most valuable company in the world. The c-suite guidance was for year on year domination of routers--and they are still under water from height of dot com--but delivered on guidance. Stock price doesn't match reality, got it?"
5,CSCO,1455340561242669060,Cisco Systems Inc - $CSCO  💰 QUOTE $CSCO was UP ⬆ on Mon Nov 01 Closed at 56.10 USD for a 0.23% gain from previous close 📈 📈 📈  📊 ANALYSIS Cisco Systems Inc should be nationalized ☭ ☭ ☭
6,CSCO,1455323779106705409,"Bought calls for $GO, $CSCO and $MAA last week. #options"
7,FAST,1455357803476881412,"RT @espn: Eli couldn't believe how fast Peyton was eating his food 😂  ""Are you breathing?! You just ate a whole piece of chicken nonstop.""…"
8,FAST,1455357802759667716,RT @lexie_giveaways: FAST GA • 15 mins ✨  — rt/like quoted tweet + rt
9,FAST,1455357801845362691,RT @the_yellow_fall: semgrep v0.71 releases: Fast and syntax-aware semantic code pattern search https://t.co/APPslSAekt #opensource #infose…
10,FAST,1455357801665007620,"@__enterprise__ @MrPoliTweets @NotBruinOregon @kovalev87 @peaceonearthplz @doodletisse @AriBerman Hi, I am available to do the homework assignments for you. I am efficient and super fast."
11,FAST,1455357800582762496,"Thank you @skzwinkscart and @hanimails for the fast transaction! My IN, Han and Changbin came home safely! Thank you so much 😊 #haniproofs https://t.co/sr6VajvBGn"
12,FAST,1455357800545021958,Fast and the furious 8 is crazy because everybody else chose cars that could drive on the snow and this nigga tyrese picked a bright orange lambo 😂😂
13,FAST,1455357800335364098,"RT @bunniefied: $5 | ₱230 | 65.000 IDR   RT, follow me + reply @bunniefied  ends fast today!! 🍝"
14,FAST,1455357799035064322,RT @milleeunje: FAST GIVEAWAY SALDO 💖 all e-wallet/gcash/paypal  - Retweet - Retweet my pinned 📌  End? 60 minutes
15,FAST,1455357797764304903,RT @st4rrx: i’m both a “fast replier” and “never replies” type of person. it depends on my mood and who u are
16,FAST,1455357796820656130,"RT @espn: Eli couldn't believe how fast Peyton was eating his food 😂  ""Are you breathing?! You just ate a whole piece of chicken nonstop.""…"
17,FAST,1455357793989500933,RT @third_artifact: I’ve noticed a lot of content creators are struggling with their mental health lately. With the seasons changing and wi…
18,FAST,1455357793385418755,RT @VerdeGives: FAST GIVEAWAY in 10 minutes!!! - rt + rt my 📌
19,FAST,1455357793355980800,RT @Sashapromotes: FAST GIVEAWAY ⚡  — like @Gemshunterabi 📌 — retweet
20,FAST,1455357792819326981,RT @Brooklynwatch: @NYC_DOT @nyctaxi @NYCSchools @NYCSeniors @NYPDTransport @nycHealthy @NYCHealthSystem @nyc311 With all due respect.....B…
21,FAST,1455357792324292615,"RT @wolvesmaw: Looking at reviews for a book I’m listening to about a Puritan woman and a goat man forest spirit and one of them was like,…"
22,FAST,1455357792085176323,RT @ZOO_FESS: Zoo im fast ⚡⚡⚡  https://t.co/EKZd1NgGy6
23,FAST,1455357792043220995,RT @Sashapromotes: FAST GIVEAWAY ⚡  — like @Gemshunterabi 📌 — retweet
24,FAST,1455357790973792258,RT @Gainmutualsm: Actives! retweet fast for 300 new moots! 🐝
25,FAST,1455357790600392704,RT @berriviv: FAST GIVEAWAY ⚡  — rt + follow @AnnaProms
26,FAST,1455357789161746433,RT @SierraWhiskey9: Never heard CNN go so quiet so fast. https://t.co/Pw4e6rPp1c
27,FAST,1455357785223401478,"RT @espn: Eli couldn't believe how fast Peyton was eating his food 😂  ""Are you breathing?! You just ate a whole piece of chicken nonstop.""…"
28,FAST,1455357783528849422,RT @KANEMlRAGE: Nicki Minaj can make club bangers for the stripper but she can also make lyrical masterpieces that’s the difference and it’…
29,FAST,1455357782891196416,RT @BethanyCherisse: Fast food was essential. Gyms were non-essential. Masks were mandatory. Outdoor activities were banned. Celebrities go…
30,FAST,1455357782387879937,RT @st4rrx: i’m both a “fast replier” and “never replies” type of person. it depends on my mood and who u are
31,FAST,1455357782253789195,"RT @layer_cake: This 360 was so fast, I had to slow it down @drdisrespect - gotta make sure the #ChampionsClub doesn’t miss it. https://t.c…"
32,FAST,1455357780085325824,semgrep v0.71 releases: Fast and syntax-aware semantic code pattern search https://t.co/APPslSAekt #opensource #infosec #security #pentest
33,FAST,1455357779388997635,@NSWHealth Kerry Chant uses the masks to wield her fast disappearing power to control our lives and our livelihoods. It's enough
34,FAST,1455357776121663493,@kayleenwrigley @instagram I strongly recommend (tomhacker01) on Instagram to help you recover your account they fast reliable and trusted I had same problem he helped me to get into my account contact him on WhatsApp +1(959) 301-9223
35,FAST,1455357775916195842,"@TeamEmilly I went through same shit but luckily I met this guy who goes by the name cracktech_tycoon on Instagram he miraculously helped me get my account back just in a few minutes, he’s good, fast and reliable I suggest you reach out to him quickly"
36,FAST,1455357774859149316,"RT @Crypto_JulieG: Morning #twitterspace I can’t believe I am now at 5,051 followers 🤩 my followers are growing as fast as #SaitamaWolfPack…"
37,FAST,1455357774485864452,"@broomheadKTAR As much as I get agree with why pilot was in the wrong, people are tired of the hypocrisy where you objectively don't see hard and fast condemnation as much when stuff like this goes the other way (due, mainly to msm being left leaning). Its laughed at, sometimes praised."
38,FAST,1455357774385328130,"@HelloItsVG Yes you are   You milk the roblox outage and make 60 tweets about it, and it gets old so fast and tiring after a while"
39,FAST,1455357774284550145,RT @mayonnaiseing: (trans)  Thank you #UpTayXMizuMiTaobao it was so much fun working with #Tawan_V We were so high that made our conversati…
40,FAST,1455357773911257088,"RT @bunniefied: $5 | ₱230 | 65.000 IDR   RT, follow me + reply @bunniefied  ends fast today!! 🍝"
41,FAST,1455357773013831681,"RT @earlcole: ""Slow success builds character. Fast success builds ego."" #MondayMotivation #NoOneCares #WorkHarder"
42,FAST,1455357772929781762,RT @Gemshunterabi: Welcome to Vinsmoke Sanji Inu  #ETH  Record day for Sanji: 📈 NEW ATH  👨‍👩‍👦‍👦 Exceeded the 250 holders; 💨 Sent the fast…
43,FAST,1455357772233527297,RT @milleeunje: FAST GIVEAWAY SALDO 💖 all e-wallet/gcash/paypal  - Retweet - Retweet my pinned 📌  End? 60 minutes
44,FAST,1455357770807463937,"@JasmineAshley22 @FracturedBadger I prefer to buy my drugs the way Rep. Matt Gaetz pays for his underage hookers - with Venmo®️. Fast, safe, and social - pony up with Venmo®️. 🙃"
45,FAST,1455357770472042499,"RT @espn: Eli couldn't believe how fast Peyton was eating his food 😂  ""Are you breathing?! You just ate a whole piece of chicken nonstop.""…"
46,FAST,1455357770287534081,"A Subscriber received 25 #Mortgage Results for £100,000 over 25 years: https://t.co/3vmZ5qoD6z https://t.co/WhOzARbyah"
47,FAST,1455357768928423936,RT @Sashapromotes: FAST GIVEAWAY ⚡  — like @fsocietyCrypto 📌 — retweet
48,FAST,1455357767644942344,RT @st4rrx: i’m both a “fast replier” and “never replies” type of person. it depends on my mood and who u are
49,FAST,1455357766319542276,RT @minie_gives: FAST CASH | 10 MINS  follow me &amp; @lunagives_  rt this + LS
50,FAST,1455357766122549251,"RT @laralogan: “Water vapor, and the clouds that condense from it, warm the earth’s surface at least four times more than does carbon dioxi…"
51,FAST,1455357765509996552,RT @st4rrx: i’m both a “fast replier” and “never replies” type of person. it depends on my mood and who u are
52,FAST,1455357764306305030,RT @stefscribbles: #novempurr day 1: fast food 🌭 https://t.co/0KGNNXAxe6
53,FAST,1455357761672282118,"RT @bunniefied: $5 | ₱230 | 65.000 IDR   RT, follow me + reply @bunniefied  ends fast today!! 🍝"
54,FAST,1455357761542258688,@ATFHQ So operation wide receiver and operation fast and furious were just you guys having a giggle? You ever find any of those 2k guns you lost? When are those responsible for these gun walking fuck ups getting arrested?
55,FAST,1455357761198436354,RT @conspiracyb0t: The CIA has had heart attack guns for decades. They have also used weaponized fast-acting cancers.
56,FAST,1455357761013702658,RT @milleeunje: FAST GIVEAWAY SALDO 💖 all e-wallet/gcash/paypal  - Retweet - Retweet my pinned 📌  End? 60 minutes
57,FAST,1455357760183406595,RT @PSGhub: Messi told @sport about Ligue 1: « I don't have much experience yet because I haven't played many games. It's a more physical l…
58,FAST,1455357759717720067,"RT @bunniefied: $5 | ₱230 | 65.000 IDR   RT, follow me + reply @bunniefied  ends fast today!! 🍝"
59,FAST,1455357759633989634,@sahlovocals @gas0nmyhands dm he is fast reliable and trustworthy. +1(440) 753-8061 Text him or call him you can also get him on whatsapp  You can chat him on instagram  gonzalez_hack
60,FAST,1455357756580368387,RT @minie_gives: FAST CASH | 10 MINS  follow me &amp; @lunagives_  rt this + LS
